0,220,0,0,0,0,0,0,0,0,0,0,0
220,230,3,0,0,0,0,0,0,0,0,0,0
230,240,4,0,0,0,0,0,0,0,0,0,0
240,250,5,0,0,0,0,0,0,0,0,0,0
250,260,6,0,0,0,0,0,0,0,0,0,0
260,270,7,0,0,0,0,0,0,0,0,0,0
270,280,8,0,0,0,0,0,0,0,0,0,0
280,290,9,0,0,0,0,0,0,0,0,0,0
290,300,10,0,0,0,0,0,0,0,0,0,0
300,320,12,0,0,0,0,0,0,0,0,0,0
320,340,14,0,0,0,0,0,0,0,0,0,0
340,360,16,0,0,0,0,0,0,0,0,0,0
360,380,18,0,0,0,0,0,0,0,0,0,0
380,400,20,0,0,0,0,0,0,0,0,0,0
400,420,22,0,0,0,0,0,0,0,0,0,0
420,440,24,0,0,0,0,0,0,0,0,0,0
440,460,26,0,0,0,0,0,0,0,0,0,0
460,480,28,0,0,0,0,0,0,0,0,0,0
480,500,30,0,0,0,0,0,0,0,0,0,0
500,520,32,0,0,0,0,0,0,0,0,0,0
520,540,34,1,0,0,0,0,0,0,0,0,0
540,560,36,3,0,0,0,0,0,0,0,0,0
560,580,38,5,0,0,0,0,0,0,0,0,0
580,600,40,7,0,0,0,0,0,0,0,0,0
600,640,43,10,0,0,0,0,0,0,0,0,0
640,680,47,14,0,0,0,0,0,0,0,0,0
680,720,51,18,0,0,0,0,0,0,0,0,0
720,760,55,22,0,0,0,0,0,0,0,0,0
760,800,59,26,0,0,0,0,0,0,0,0,0
800,840,63,30,0,0,0,0,0,0,0,0,0
840,880,67,34,0,0,0,0,0,0,0,0,0
880,920,71,38,4,0,0,0,0,0,0,0,0
920,960,75,42,8,0,0,0,0,0,0,0,0
960,1000,80,46,12,0,0,0,0,0,0,0,0
1000,1040,86,50,16,0,0,0,0,0,0,0,0
1040,1080,92,54,20,0,0,0,0,0,0,0,0
1080,1120,98,58,24,0,0,0,0,0,0,0,0
1120,1160,104,62,28,0,0,0,0,0,0,0,0
1160,1200,110,66,32,0,0,0,0,0,0,0,0
1200,1240,116,70,36,3,0,0,0,0,0,0,0
1240,1280,122,74,40,7,0,0,0,0,0,0,0
1280,1320,128,78,44,11,0,0,0,0,0,0,0
1320,1360,134,84,48,15,0,0,0,0,0,0,0
1360,1400,140,90,52,19,0,0,0,0,0,0,0
1400,1440,146,96,56,23,0,0,0,0,0,0,0
1440,1480,152,102,60,27,0,0,0,0,0,0,0
1480,1520,158,108,64,31,0,0,0,0,0,0,0
1520,1560,164,114,68,35,2,0,0,0,0,0,0
1560,1600,170,120,72,39,6,0,0,0,0,0,0
1600,1640,176,126,76,43,10,0,0,0,0,0,0
1640,1680,182,132,82,47,14,0,0,0,0,0,0
1680,1720,188,138,88,51,18,0,0,0,0,0,0
1720,1760,194,144,94,55,22,0,0,0,0,0,0
1760,1800,200,150,100,59,26,0,0,0,0,0,0
1800,1840,206,156,106,63,30,0,0,0,0,0,0
1840,1880,212,162,112,67,34,0,0,0,0,0,0
1880,1920,218,168,118,71,38,4,0,0,0,0,0
